Date	Open	High	Low	Close	Volume	Adj Close
15/02/2012	191.29	191.54	183.26	184.47	7794400	184.47
14/02/2012	191.08	193.57	186.1	191.3	9527100	191.3
13/02/2012	187.17	192.5	185.68	191.59	6071400	191.59
10/02/2012	183.42	187.63	182.52	185.54	5797100	185.54
09/02/2012	184.5	185.69	181.76	184.98	7189200	184.98
08/02/2012	184.95	186.49	182.91	185.48	5476600	185.48
07/02/2012	182.65	184.94	182.06	184.19	5103900	184.19
06/02/2012	186.28	186.56	182.92	183.14	5310000	183.14
03/02/2012	182.83	187.9	181.89	187.68	8120500	187.68
02/02/2012	179.65	181.94	176.8	181.72	8736300	181.72
01/02/2012	173.81	179.95	172	179.46	21336600	179.46
31/01/2012	194	195.63	189.7	194.44	12772200	194.44
30/01/2012	193.68	195	190.13	192.15	5424100	192.15
27/01/2012	193.09	196.5	192.33	195.37	4659000	195.37
26/01/2012	189.3	194.85	188.73	193.32	5873600	193.32
25/01/2012	186.99	188.17	184.61	187.8	4306400	187.8
24/01/2012	185	188.41	183.82	187	4673800	187
23/01/2012	190.79	191.73	185.23	186.09	4585300	186.09
20/01/2012	190.71	192.9	189.04	190.93	5610300	190.93
19/01/2012	190.88	195.94	190.36	194.45	7096000	194.45
18/01/2012	181.94	190.25	181.12	189.44	7473500	189.44
17/01/2012	180.15	183.3	178.51	181.66	5644500	181.66
13/01/2012	175.81	178.8	173.5	178.42	4753500	178.42
12/01/2012	179.42	179.49	175.75	175.93	5385800	175.93
11/01/2012	179.64	180.77	178.19	178.9	3102700	178.9
10/01/2012	181.1	182.4	177.1	179.34	3985800	179.34
09/01/2012	182.76	184.37	177	178.56	5056900	178.56
06/01/2012	178.07	184.65	177.5	182.61	7008400	182.61
05/01/2012	175.94	178.25	174.05	177.61	3809100	177.61
04/01/2012	179.21	180.5	176.07	177.51	4205200	177.51
03/01/2012	175.89	179.48	175.55	179.03	5110800	179.03
